name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
london,2017-02-17,13.1,6.6,9.5,13.1,4.5,8.4,6,79.3,0.199,100,4.17,rain,0,0,,15.6,247.1,1027.8,64,19.1,93.6,8.2,4,,2017-02-17T07:10:13,2017-02-17T17:19:33,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-02-18,12.6,6.1,8.2,12.6,3.8,6.7,5.3,82.8,0,0,0,,0,0,,13.9,210,1025.2,68.1,9.1,109.3,9.5,5,,2017-02-18T07:08:14,2017-02-18T17:21:22,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-02-19,12,5,8.5,12,2.3,7.4,6.1,85.1,0,0,0,,0,0,,18,247.5,1022.4,80.5,17.3,64.7,5.7,3,,2017-02-19T07:06:14,2017-02-19T17:23:11,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-02-20,17.6,10.1,12.6,17.6,10.1,12.6,9.9,84.1,0.198,100,4.17,rain,0,0,51.8,27.4,259.8,1018.7,80.4,20.1,103.7,9.1,4,,2017-02-20T07:04:13,2017-02-20T17:25:00,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-02-21,13.5,10.5,11.8,13.5,10.5,11.8,9.4,85.2,0.008,100,8.33,rain,0,0,51.8,26.3,256.1,1016,90.3,25.6,46,4,2,,2017-02-21T07:02:11,2017-02-21T17:26:48,0.84,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-02-22,14,11,12.2,14,11,12.2,9.3,82.6,0.001,100,4.17,rain,0,0,61.2,33.6,250.7,1008.4,95.1,25.9,31.8,2.9,1,,2017-02-22T07:00:08,2017-02-22T17:28:36,0.87,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-02-23,11.5,6,9.9,11.5,2.2,8.7,4.5,70.1,0.809,100,8.33,rain,0,0,93.6,56.4,262.8,998.3,81.7,30.9,108,9.2,5,,2017-02-23T06:58:04,2017-02-23T17:30:24,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-02-24,10.1,3.1,6.4,10.1,-0.3,3.8,0,64.9,0,0,0,,0,0,,20.8,285.9,1015.9,49.7,34,116.2,10.1,4,,2017-02-24T06:55:59,2017-02-24T17:32:11,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-02-25,10.5,6.3,8.7,10.5,3.8,6.4,5.6,80.7,0.602,100,4.17,rain,0,0,47.1,27.9,220.7,1013.7,85.7,19.6,38.7,3.3,2,,2017-02-25T06:53:53,2017-02-25T17:33:59,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-02-26,11.8,9.6,10.6,11.8,6.6,10.3,7.9,84,1.199,100,8.33,rain,0,0,56.4,34.2,226.8,1005.9,91.5,21.4,88.7,7.6,4,,2017-02-26T06:51:47,2017-02-26T17:35:46,0,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-02-27,9.6,4,7.4,7.1,0.6,4.3,5.2,86.3,11.784,100,16.67,rain,0,0,65.6,29.2,216.6,990.3,74.1,24.2,43.3,3.8,2,,2017-02-27T06:49:39,2017-02-27T17:37:32,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-02-28,8.1,2,5.1,4.3,-1.4,1.5,1.7,79.9,1.796,100,8.33,rain,0,0,57.6,32.3,250.5,988.6,59.5,32.3,96.9,8.5,5,,2017-02-28T06:47:31,2017-02-28T17:39:19,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-03-01,9.1,6,7.4,6.9,2.2,4.5,4,79.4,0.4,100,16.67,rain,0,0,60.5,37.6,245.6,998.3,78.5,24.8,48.2,4.2,3,,2017-03-01T06:45:22,2017-03-01T17:41:05,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-03-02,11.6,5.6,8,11.6,0.8,5.1,0.6,61,0.402,100,4.17,rain,0,0,63.9,39.3,256.2,1008.2,51.4,26.5,146.6,12.6,5,,2017-03-02T06:43:12,2017-03-02T17:42:51,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-03-03,11.5,6.5,8.6,11.5,4.1,7.2,5.9,82.9,2.007,100,4.17,rain,0,0,,17.5,150.6,998.9,74.6,17.1,41.6,3.6,2,,2017-03-03T06:41:02,2017-03-03T17:44:36,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-03-04,11.5,7.5,9.1,11.5,4.1,7.6,5.2,77.7,1.217,100,12.5,rain,0,0,40.7,26.9,217.1,989.4,68.5,26.5,68,5.8,3,,2017-03-04T06:38:50,2017-03-04T17:46:22,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-03-05,10.5,5.6,7.4,10.5,1.4,4.6,4.1,79.8,5.001,100,12.5,rain,0,0,59.9,31.6,234.2,991.4,69.7,25.1,76.7,6.7,4,,2017-03-05T06:36:39,2017-03-05T17:48:07,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-03-06,11,3.6,7.4,11,1.9,5.7,2.4,72.3,1.005,100,4.17,rain,0,0,45.2,26,290.7,1004.3,53.1,32.2,116.1,10,5,,2017-03-06T06:34:26,2017-03-06T17:49:52,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-03-07,11,5,7.7,11,2.8,5.7,3,73.1,0.199,100,4.17,rain,0,0,,18.5,259.9,1016.4,70.7,34.5,116.7,10,5,,2017-03-07T06:32:13,2017-03-07T17:51:36,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-03-08,14.1,8.1,11,14.1,4.8,10.1,8.7,86,2.984,100,8.33,rain,0,0,,23.8,237.8,1012.6,85.8,20.3,58.7,5,4,,2017-03-08T06:30:00,2017-03-08T17:53:20,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-03-09,17,9.6,13,17,8.1,12.9,6.2,66.1,0,0,0,,0,0,,23.4,279.5,1020.4,63.9,33.2,139,12.1,5,,2017-03-09T06:27:46,2017-03-09T17:55:04,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-03-10,12.1,7.1,9.9,12.1,5.5,9,6.9,81.8,0,0,0,,0,0,,15.3,162.2,1025.1,85.1,16.8,48.6,4.1,1,,2017-03-10T06:25:32,2017-03-10T17:56:48,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-03-11,17.1,10.5,13.1,17.1,10.5,13.1,9.2,78,0,0,0,,0,0,,11,176.5,1018.2,78.7,10.6,134.7,11.5,5,,2017-03-11T06:23:17,2017-03-11T17:58:31,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-03-12,12.6,10.1,11.6,12.6,10.1,11.6,7.8,77.7,0.804,100,8.33,rain,0,0,,13.7,308.2,1015,80.9,12.7,55.7,4.7,2,,2017-03-12T06:21:02,2017-03-12T18:00:15,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-03-13,15.6,7.5,11.4,15.6,6.2,10.9,4.8,65.1,0,0,0,,0,0,,16.7,301.1,1028.4,40.3,27.4,176,15.2,6,,2017-03-13T06:18:47,2017-03-13T18:01:58,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-03-14,14.6,8.1,11.5,14.6,5.6,10.7,8.4,82,0,0,0,,0,0,,21.1,270.1,1032.2,77.6,21.2,141.7,12,6,,2017-03-14T06:16:31,2017-03-14T18:03:40,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2017-03-15,18.5,7.6,12.2,18.5,7,12.1,7.9,77.4,0,0,0,,0,0,,11.6,261.9,1032.4,33.9,15.7,110.1,9.4,4,,2017-03-15T06:14:15,2017-03-15T18:05:23,0.59,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
